"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90.x","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url","Mins_Per_90.y","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","CKR_Avg","SKR_Avg","Total_GK_Rating"
"1",2025,"Augsburg","Bundesliga","Finn Dahmen","GER","GK","26",1998,19,19,1710,19,19,1,82,65,79.3,7,6,6,9,47.4,2,2,0,0,0,"https://fbref.com/en/players/dee3013b/Finn-Dahmen",19,19,2,0,3,2,24.2,0.29,7.2,0.38,129,341,37.8,614,51,38.6,34.9,145,71.7,53.2,337,9,2.7,26,1.37,14.7,1.92070864796306,0.979878189092191,1.66031049136761
"2",2025,"Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","38",1986,22,22,1980,22,15,0.68,45,30,68.9,18,4,0,13,59.1,2,1,0,1,0,"https://fbref.com/en/players/8778c910/Manuel-Neuer",22,15,1,0,2,0,15,0.33,0,0,92,194,47.4,867,81,20,27.7,56,37.5,37.3,162,6,3.7,40,1.82,19.6,1.86011752822157,1.03089497224284,1.63060962597596
"3",2025,"Gladbach","Bundesliga","Moritz Nicolas","GER","GK","26",1997,19,19,1639,18.2,25,1.37,92,69,78.3,9,4,6,4,21.1,5,5,0,0,0,"https://fbref.com/en/players/226ddf9d/Moritz-Nicolas",18.2,25,5,0,1,2,29.9,0.29,6.9,0.38,95,199,47.7,734,88,23.3,28.2,60,46.7,39.8,319,18,5.6,14,0.77,12,1.24305143999698,1.50946031859812,1.31678670253478
"4",2025,"Gladbach","Bundesliga","Jonas Omlin","SUI","GK","30",1994,12,11,978,10.9,26,2.39,72,45,66.7,2,1,8,1,9.1,3,2,1,0,33.3,"https://fbref.com/en/players/c631f952/Jonas-Omlin",10.9,26,2,1,6,0,23.8,0.31,-2.2,-0.2,68,190,35.8,453,46,34.9,32.7,57,56.1,44.2,166,3,1.8,13,1.2,15.1,0.454890478267639,2.86030025307605,1.12064727356581
"5",2025,"St. Pauli","Bundesliga","Nikola Vasilj","BIH","GK","28",1995,33,33,2969,33,39,1.18,135,93,71.9,8,7,18,9,27.3,5,1,4,0,80,"https://fbref.com/en/players/f038585f/Nikola-Vasilj",33,39,1,0,5,1,47.4,0.32,9.4,0.29,164,493,33.3,1267,107,34.2,32.7,134,44.8,38,411,24,5.8,27,0.82,12.8,1.34730592086733,0.470257306056402,1.10456097103286
"6",2025,"Bochum","Bundesliga","Timo Horn","GER","GK","31",1993,13,13,1170,13,22,1.69,54,32,59.3,3,3,7,3,23.1,1,0,0,1,NA,"https://fbref.com/en/players/3cd9e95a/Timo-Horn",13,22,0,1,3,0,18.5,0.35,-3.5,-0.27,129,332,38.9,400,29,60.8,43.6,98,90.8,61.8,182,6,3.3,18,1.38,14.8,0.560178143673036,2.02631843425597,0.96596882081193
"7",2025,"Mainz 05","Bundesliga","Robin Zentner","GER","GK","29",1994,32,32,2880,32,41,1.28,142,100,73.9,13,9,10,9,28.1,5,4,1,0,20,"https://fbref.com/en/players/5c4bf6ba/Robin-Zentner",32,41,4,2,9,0,45,0.29,4,0.12,175,567,30.9,977,132,46.2,38.7,179,64.8,52.1,524,45,8.6,58,1.81,14,1.14764258962637,0.404864519698084,0.942060342213828
"8",2025,"RB Leipzig","Bundesliga","Péter Gulácsi","HUN","GK","34",1990,30,30,2631,29.2,39,1.33,137,97,73,12,11,7,14,46.7,3,2,1,0,33.3,"https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi",29.2,39,2,1,4,0,42.6,0.3,3.6,0.12,79,209,37.8,705,140,20.3,28.6,196,33.7,34.3,434,23,5.3,34,1.16,14.8,1.10283391496369,0.496493832295249,0.935014263390885
"9",2025,"Eint Frankfurt","Bundesliga","Kevin Trapp","GER","GK","34",1990,26,26,2295,25.5,34,1.33,117,82,70.9,12,8,6,6,23.1,2,0,2,0,100,"https://fbref.com/en/players/ce17b5eb/Kevin-Trapp",25.5,34,0,0,6,1,34.9,0.3,1.9,0.08,89,312,28.5,813,123,31.7,29.9,130,41.5,36.9,394,24,6.1,28,1.1,13.6,1.02644571593438,0.595167731026387,0.907078840434812
"10",2025,"Union Berlin","Bundesliga","Frederik Rønnow","DEN","GK","31",1992,28,28,2520,28,37,1.32,111,71,67.6,8,11,9,8,28.6,5,1,4,0,80,"https://fbref.com/en/players/a70b8345/Frederik-Ronnow",28,37,1,1,1,1,39.3,0.32,3.3,0.12,143,395,36.2,734,135,36.6,34.3,161,78.3,54.3,483,40,8.3,35,1.25,13.4,0.978098799846095,0.577646122129052,0.867263592399287
