"","Squad","Comp","Player","CKR_Avg","SKR_Avg","Total_GK_Rating"
"1","Augsburg","Bundesliga","Finn Dahmen",1.92070864796306,0.979878189092191,1.66031049136761
"2","Bayern Munich","Bundesliga","Manuel Neuer",1.86011752822157,1.03089497224284,1.63060962597596
"3","Gladbach","Bundesliga","Moritz Nicolas",1.24305143999698,1.50946031859812,1.31678670253478
"4","Gladbach","Bundesliga","Jonas Omlin",0.454890478267639,2.86030025307605,1.12064727356581
"5","St. Pauli","Bundesliga","Nikola Vasilj",1.34730592086733,0.470257306056402,1.10456097103286
"6","Bochum","Bundesliga","Timo Horn",0.560178143673036,2.02631843425597,0.96596882081193
"7","Mainz 05","Bundesliga","Robin Zentner",1.14764258962637,0.404864519698084,0.942060342213828
"8","RB Leipzig","Bundesliga","Péter Gulácsi",1.10283391496369,0.496493832295249,0.935014263390885
"9","Eint Frankfurt","Bundesliga","Kevin Trapp",1.02644571593438,0.595167731026387,0.907078840434812
"10","Union Berlin","Bundesliga","Frederik Rønnow",0.978098799846095,0.577646122129052,0.867263592399287
"11","Leverkusen","Bundesliga","Lukáš Hrádecký",0.962077679233982,0.568913709760302,0.853259802510939
"12","Freiburg","Bundesliga","Noah Atubolu",0.889625773306151,0.706831940814186,0.839033047944081
"13","Dortmund","Bundesliga","Gregor Kobel",0.830341929128091,0.4665656602328,0.72965782718353
"14","Augsburg","Bundesliga","Nediljko Labrović",0.409646133118308,1.51300481712464,0.715028005771156
"15","Wolfsburg","Bundesliga","Kamil Grabara",0.726515014666947,0.651141912345135,0.705653639786467
"16","Werder Bremen","Bundesliga","Michael Zetterer",0.688589940123688,0.470344478789367,0.628185097486063
"17","Hoffenheim","Bundesliga","Oliver Baumann",0.601373709015087,0.617767581048168,0.605911119572563
"18","Stuttgart","Bundesliga","Alexander Nübel",0.629570831099425,0.432082327812714,0.574910991252859
"19","Heidenheim","Bundesliga","Kevin Müller",0.558797737425395,0.475642395469742,0.535782434772138
"20","Bochum","Bundesliga","Patrick Drewes",0.411414129342554,0.850653959341394,0.53298464287829
"21","Holstein Kiel","Bundesliga","Timon Weiner",0.349043490466263,0.70716208306525,0.448161690218478
