"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90.x","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url","Mins_Per_90.y","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","CKR_Avg","SKR_Avg","Total_GK_Rating"
"1",2025,"Athletic Club","La Liga","Julen Agirrezabala","ESP","GK","23",2000,14,14,1206,13.4,9,0.67,34,24,76.5,9,4,1,5,35.7,2,1,1,0,50,"https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala",13.4,9,1,2,1,0,10.5,0.27,1.5,0.11,57,178,32,341,51,37.5,33.9,66,75.8,54.9,143,20,14,17,1.27,14.2,2.33260727469496,2.16831186819847,2.28713444738011
"2",2025,"Athletic Club","La Liga","Unai Simón","ESP","GK","27",1997,21,21,1890,21,14,0.67,62,47,79,10,8,3,10,47.6,2,1,1,0,50,"https://fbref.com/en/players/5dcf3e90/Unai-Simon",21,14,1,0,2,0,16.3,0.24,2.3,0.11,106,284,37.3,533,91,36.2,34.4,117,77.8,58.3,249,19,7.6,28,1.33,15.5,2.51858851565803,0.989077567136213,2.09525843771219
"3",2025,"Barcelona","La Liga","Wojciech Szczęsny","POL","GK","34",1990,15,15,1350,15,12,0.8,33,21,66.7,14,1,0,8,53.3,1,1,0,0,0,"https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny",15,12,1,0,1,0,12,0.35,0,0,24,63,38.1,398,61,12.3,25.1,54,25.9,31,130,7,5.4,56,3.73,20.2,1.51326710069678,1.28375974658909,1.44974525000493
"4",2025,"Las Palmas","La Liga","Dinko Horkaš","CRO","GK","25",1999,13,11,1085,12.1,19,1.58,54,35,66.7,2,0,9,1,9.1,2,1,1,0,50,"https://fbref.com/en/players/8fafc04d/Dinko-Horkas",12.1,19,1,0,0,1,19.4,0.34,1.4,0.11,69,175,39.4,475,53,31.8,32.5,47,51.1,43,148,9,6.1,16,1.33,15.6,0.798833490027089,2.61687729185164,1.30202218905481
"5",2025,"Villarreal","La Liga","Luiz Lúcio Reis Júnior","BRA","GK","23",2001,17,16,1458,16.2,18,1.11,66,48,78.8,9,4,3,5,31.3,4,4,0,0,0,"https://fbref.com/en/players/d0530e29/Luiz-Lucio-Reis-Junior",16.2,18,4,1,0,0,18.1,0.23,0.1,0,61,178,34.3,392,96,31.9,31.6,99,53.5,43.6,256,16,6.3,20,1.23,12.2,1.25212043531939,1.25895427342895,1.2540118694555
"6",2025,"Real Madrid","La Liga","Thibaut Courtois","BEL","GK","32",1992,30,30,2700,30,29,0.97,104,76,75,20,6,4,11,36.7,3,3,0,0,0,"https://fbref.com/en/players/1840e36d/Thibaut-Courtois",30,29,3,0,6,1,28.7,0.27,0.7,0.02,62,214,29,871,173,18.5,28.2,148,35.8,39.1,350,16,4.6,14,0.47,10.7,1.42327110061693,0.604784657842955,1.19673468389367
"7",2025,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","31",1993,36,36,3240,36,30,0.83,114,86,78.1,20,10,6,15,41.7,5,5,0,0,0,"https://fbref.com/en/players/ee8508c0/Jan-Oblak",36,30,5,1,3,2,25.6,0.19,-2.4,-0.07,109,277,39.4,670,183,24.3,30.2,277,41.2,36.7,488,28,5.7,28,0.78,14,1.46958184813371,0.419700476304369,1.17900114755099
"8",2025,"Betis","La Liga","Rui Silva","POR","GK","30",1994,15,15,1350,15,18,1.2,54,37,72.2,5,5,5,4,26.7,3,3,0,0,0,"https://fbref.com/en/players/ea83bfa6/Rui-Silva",15,18,3,0,3,1,18.4,0.3,1.4,0.1,45,144,31.3,446,70,26,30.8,76,36.8,35.9,194,10,5.2,31,2.07,18.9,1.11038160530061,1.33545380414709,1.17267591680796
"9",2025,"Getafe","La Liga","David Soria","ESP","GK","31",1993,38,38,3420,38,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1,"https://fbref.com/en/players/8f8c6934/David-Soria",38,39,8,0,5,0,42,0.29,3,0.08,300,799,37.5,719,68,72.6,48.8,304,91.1,61.5,479,25,5.2,39,1.03,14.7,1.36248522553077,0.384360962904896,1.09176508407751
"10",2025,"Mallorca","La Liga","Dominik Greif","SVK","GK","27",1997,31,31,2790,31,34,1.1,116,83,72.4,11,8,12,7,22.6,2,2,0,0,0,"https://fbref.com/en/players/30061f53/Dominik-Greif",31,34,2,0,3,1,33.9,0.28,0.9,0.03,191,475,40.2,847,126,41.9,36.4,193,62.2,48.3,511,15,2.9,21,0.68,12.9,1.23743923982785,0.575120352417351,1.05412606609512
"11",2025,"Barcelona","La Liga","Iñaki Peña","ESP","GK","25",1999,16,15,1396,15.5,18,1.16,53,35,69.8,7,3,5,4,26.7,2,2,0,0,0,"https://fbref.com/en/players/cc1c5035/Inaki-Pena",15.5,18,2,0,1,0,16.7,0.29,-1.3,-0.08,23,78,29.5,546,80,10.8,24.7,84,22.6,30.3,143,3,2.1,89,5.74,23.5,1.00440014569352,0.860607022722722,0.964601833681349
"12",2025,"Espanyol","La Liga","Joan García","ESP","GK","23",2001,38,38,3420,38,51,1.34,192,140,75.5,11,9,18,8,21.1,6,4,2,0,33.3,"https://fbref.com/en/players/87b498b0/Joan-Garcia",38,51,4,2,6,1,57.7,0.28,7.7,0.2,194,526,36.9,1040,197,37.6,34.8,216,62.5,48.5,670,64,9.6,35,0.92,12,1.16935421936644,0.374092752898937,0.949245890679826
"13",2025,"Rayo Vallecano","La Liga","Augusto Batalla","ARG","GK","28",1996,32,32,2880,32,39,1.22,133,93,75.2,10,12,10,8,25,8,6,2,0,25,"https://fbref.com/en/players/fc627681/Augusto-Batalla",32,39,6,0,6,1,40,0.25,2,0.06,177,534,33.1,989,129,42.3,38.2,184,63,51.1,453,35,7.7,38,1.19,14.4,1.11946955149858,0.459082773818423,0.936691137038763
"14",2025,"Alavés","La Liga","Antonio Sivera","ESP","GK","27",1996,32,32,2810,31.2,39,1.25,112,75,73.2,9,10,13,8,25,9,9,0,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera",31.2,39,9,2,2,2,39,0.28,2,0.06,297,724,41,735,70,71.8,47.7,229,85.6,60,453,30,6.6,29,0.93,12.7,1.01986495034313,0.536118594189238,0.88597615219196
"15",2025,"Betis","La Liga","Adrián","ESP","GK","37",1987,19,19,1710,19,27,1.42,76,49,65.8,10,5,4,3,15.8,1,1,0,0,0,"https://fbref.com/en/players/f76e6b4e/Adrian",19,27,1,2,5,0,26,0.33,-1,-0.05,58,178,32.6,507,91,28,31.2,109,33,33.8,257,14,5.4,16,0.84,11.7,0.831155208668026,1.0261500840139,0.885124875154549
"16",2025,"Osasuna","La Liga","Sergio Herrera","ESP","GK","31",1993,37,37,3330,37,52,1.41,182,131,75.3,12,15,10,8,21.6,7,7,0,0,0,"https://fbref.com/en/players/a4995f48/Sergio-Herrera",37,52,7,1,4,1,56.2,0.28,5.2,0.14,277,614,45.1,966,139,43.2,37.6,276,71.4,50.7,524,32,6.1,85,2.3,19.7,1.05300754387736,0.359256768668278,0.860994815869051
"17",2025,"Sevilla","La Liga","Ørjan Nyland","NOR","GK","33",1990,30,30,2673,29.7,39,1.31,112,73,67.9,8,10,12,7,23.3,4,3,1,0,25,"https://fbref.com/en/players/bdedffac/Orjan-Nyland",29.7,39,3,3,3,1,37.1,0.31,-0.9,-0.03,118,445,26.5,836,114,42.1,37.2,166,56,46,408,20,4.9,29,0.98,13.8,0.898268571332329,0.494394067159711,0.786486288572621
"18",2025,"Las Palmas","La Liga","Jasper Cillessen","NED","GK","35",1989,27,27,2335,25.9,42,1.62,128,85,70.3,6,8,13,3,11.1,8,4,3,1,42.9,"https://fbref.com/en/players/04ac8285/Jasper-Cillessen",25.9,42,4,0,4,2,44.3,0.3,4.3,0.16,124,409,30.3,820,142,39.5,34.5,179,47.5,43.1,413,13,3.1,20,0.77,14.5,0.823111556922172,0.677829925778967,0.782901263366973
"19",2025,"Real Sociedad","La Liga","Álex Remiro","ESP","GK","29",1995,36,36,3240,36,43,1.19,130,86,70.8,13,7,16,13,36.1,6,5,1,0,16.7,"https://fbref.com/en/players/374ee424/Alex-Remiro",36,43,5,0,5,0,38,0.26,-5,-0.14,180,477,37.7,1053,111,31.4,32.6,234,62.4,48.9,446,29,6.5,40,1.11,14.4,0.931117539740767,0.388387432266207,0.780903525958907
"20",2025,"Villarreal","La Liga","Diego Conde","ESP","GK","25",1998,22,22,1962,21.8,33,1.51,94,62,68.1,11,6,5,2,9.1,4,3,0,1,0,"https://fbref.com/en/players/4eae5bc4/Diego-Conde",21.8,33,3,1,6,1,26.3,0.26,-5.7,-0.26,61,161,37.9,532,111,22.7,28.2,107,37.4,36.3,323,18,5.6,16,0.73,11.9,0.660614984984637,0.948552090088687,0.740308717981449
"21",2025,"Leganés","La Liga","Marko Dmitrović","SRB","GK","32",1992,32,32,2880,32,49,1.53,150,103,72,8,11,13,10,31.3,8,7,0,1,0,"https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic",32,49,7,1,9,2,50.2,0.3,3.2,0.1,201,765,26.3,743,112,65.3,47.2,303,92.4,66.2,579,49,8.5,53,1.66,14.5,0.873992535663694,0.379350980716991,0.737088221109286
"22",2025,"Valencia","La Liga","Giorgi Mamardashvili","GEO","GK","23",2000,34,34,3060,34,48,1.41,136,89,68.4,11,11,12,8,23.5,7,5,2,0,28.6,"https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili",34,48,5,0,4,3,46.1,0.3,1.1,0.03,141,449,31.4,859,134,36,34.5,219,63.9,49.6,472,33,7,38,1.12,14.3,0.846932284994258,0.402423726494496,0.723903520212183
