"","Squad","Comp","Player","CKR_Avg","SKR_Avg","Total_GK_Rating"
"1","Athletic Club","La Liga","Julen Agirrezabala",2.33260727469496,2.16831186819847,2.28713444738011
"2","Athletic Club","La Liga","Unai Simón",2.51858851565803,0.989077567136213,2.09525843771219
"3","Barcelona","La Liga","Wojciech Szczęsny",1.51326710069678,1.28375974658909,1.44974525000493
"4","Las Palmas","La Liga","Dinko Horkaš",0.798833490027089,2.61687729185164,1.30202218905481
"5","Villarreal","La Liga","Luiz Lúcio Reis Júnior",1.25212043531939,1.25895427342895,1.2540118694555
"6","Real Madrid","La Liga","Thibaut Courtois",1.42327110061693,0.604784657842955,1.19673468389367
"7","Atlético Madrid","La Liga","Jan Oblak",1.46958184813371,0.419700476304369,1.17900114755099
"8","Betis","La Liga","Rui Silva",1.11038160530061,1.33545380414709,1.17267591680796
"9","Getafe","La Liga","David Soria",1.36248522553077,0.384360962904896,1.09176508407751
"10","Mallorca","La Liga","Dominik Greif",1.23743923982785,0.575120352417351,1.05412606609512
"11","Barcelona","La Liga","Iñaki Peña",1.00440014569352,0.860607022722722,0.964601833681349
"12","Espanyol","La Liga","Joan García",1.16935421936644,0.374092752898937,0.949245890679826
"13","Rayo Vallecano","La Liga","Augusto Batalla",1.11946955149858,0.459082773818423,0.936691137038763
"14","Alavés","La Liga","Antonio Sivera",1.01986495034313,0.536118594189238,0.88597615219196
"15","Betis","La Liga","Adrián",0.831155208668026,1.0261500840139,0.885124875154549
"16","Osasuna","La Liga","Sergio Herrera",1.05300754387736,0.359256768668278,0.860994815869051
"17","Sevilla","La Liga","Ørjan Nyland",0.898268571332329,0.494394067159711,0.786486288572621
"18","Las Palmas","La Liga","Jasper Cillessen",0.823111556922172,0.677829925778967,0.782901263366973
"19","Real Sociedad","La Liga","Álex Remiro",0.931117539740767,0.388387432266207,0.780903525958907
"20","Villarreal","La Liga","Diego Conde",0.660614984984637,0.948552090088687,0.740308717981449
"21","Leganés","La Liga","Marko Dmitrović",0.873992535663694,0.379350980716991,0.737088221109286
"22","Valencia","La Liga","Giorgi Mamardashvili",0.846932284994258,0.402423726494496,0.723903520212183
"23","Girona","La Liga","Paulo Gazzaniga",0.741908844045173,0.383824291777516,0.642800065798654
"24","Celta Vigo","La Liga","Vicente Guaita",0.708999728214362,0.342724407328509,0.607623951669513
"25","Valladolid","La Liga","Karl Jakob Hein",0.441677265789206,0.479866000371793,0.452246944942613
