"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90.x","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url","Mins_Per_90.y","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","CKR_Avg","SKR_Avg","Total_GK_Rating"
"1",2025,"Lens","Ligue 1","Brice Samba","FRA","GK","30",1994,15,15,1350,15,14,0.93,54,40,81.5,6,6,3,7,46.7,4,4,0,0,0,"https://fbref.com/en/players/60d90c55/Brice-Samba",15,14,4,2,3,0,17.5,0.26,3.5,0.23,82,163,50.3,435,61,29.7,30.5,76,44.7,36.1,152,17,11.2,22,1.47,16.1,1.88729457003,1.67020887262289,1.8272107208146
"2",2025,"Lens","Ligue 1","Mathew Ryan","AUS","GK","32",1992,14,14,1260,14,17,1.21,62,44,75.8,8,1,5,6,42.9,3,2,1,0,33.3,"https://fbref.com/en/players/4535e4bb/Mathew-Ryan",14,17,2,0,0,0,19.5,0.28,2.5,0.18,46,135,34.1,342,79,31.3,32.3,66,42.4,35.3,176,20,11.4,10,0.71,11.6,1.27534009566927,2.07785356651103,1.49745559637383
"3",2025,"Nantes","Ligue 1","Alban Lafont","FRA","GK","25",1999,12,12,1080,12,19,1.58,49,32,67.3,2,4,6,2,16.7,3,3,0,0,0,"https://fbref.com/en/players/4e7db402/Alban-Lafont",12,19,3,0,2,2,16.8,0.3,-0.2,-0.02,40,143,28,309,56,34,34.9,57,66.7,51.1,200,16,8,6,0.5,10.6,0.693805034090053,3.35496310918881,1.43034651255839
"4",2025,"Lille","Ligue 1","Lucas Chevalier","FRA","GK","22",2001,34,34,3060,34,36,1.06,126,91,74.6,17,9,8,11,32.4,4,4,0,0,0,"https://fbref.com/en/players/b3d76d84/Lucas-Chevalier",34,36,4,0,6,1,42.2,0.32,7.2,0.21,112,288,38.9,968,144,25.7,29.6,112,34.8,35.7,373,21,5.6,24,0.71,13.9,1.52109884361847,0.533962588242497,1.24788440972681
"5",2025,"Monaco","Ligue 1","Philipp Köhn","SUI","GK","26",1998,19,19,1710,19,19,1,63,44,71.4,11,5,3,8,42.1,1,1,0,0,0,"https://fbref.com/en/players/ff74841d/Philipp-Kohn",19,19,1,0,2,0,17.2,0.26,-1.8,-0.1,50,157,31.8,447,70,25.7,29.9,99,42.4,38.1,225,16,7.1,20,1.05,14.8,1.20278276260943,1.09150523968891,1.17198394910823
"6",2025,"Strasbourg","Ligue 1","Đorđe Petrović","SRB","GK","24",1999,31,31,2790,31,38,1.23,147,110,78.9,15,8,8,10,32.3,8,7,1,0,12.5,"https://fbref.com/en/players/0cf321c8/Djordje-Petrovic",31,38,7,0,3,2,45.9,0.27,9.9,0.32,117,361,32.4,1438,127,20.9,27.4,107,56.1,45.6,491,41,8.4,47,1.52,15.2,1.40275801570174,0.501502486753535,1.15331320218962
"7",2025,"Nantes","Ligue 1","Anthony Lopes","POR","GK","33",1990,18,18,1563,17.4,26,1.5,71,46,69,5,6,7,3,16.7,5,4,0,1,0,"https://fbref.com/en/players/f00de885/Anthony-Lopes",17.4,26,4,0,1,1,25.6,0.32,0.6,0.03,89,257,34.6,451,56,40.4,35.8,96,78.1,49.4,308,16,5.2,8,0.46,11,0.810605308285231,1.76235118317101,1.0740245769014
"8",2025,"Reims","Ligue 1","Yehvann Diouf","SEN","GK","24",1999,34,34,3060,34,47,1.38,179,131,76,8,9,17,7,20.6,5,4,1,0,20,"https://fbref.com/en/players/eedea60b/Yehvann-Diouf",34,47,4,1,8,0,61.6,0.33,14.6,0.43,154,477,32.3,993,153,34.4,33.3,220,61.4,45,554,31,5.6,42,1.24,14.6,1.3200257419597,0.379745353473486,1.05977983098174
"9",2025,"Nice","Ligue 1","Marcin Bułka","POL","GK","24",1999,34,34,3060,34,41,1.21,161,120,75.8,17,9,8,8,23.5,3,2,1,0,33.3,"https://fbref.com/en/players/db87a2c4/Marcin-Bulka",34,41,2,0,4,1,43,0.26,3,0.09,112,272,41.2,948,173,22.8,28.6,162,34.6,32.3,470,39,8.3,33,0.97,12.8,1.23320492845131,0.437810012461815,1.01305966430072
"10",2025,"Monaco","Ligue 1","Radosław Majecki","POL","GK","24",1999,15,15,1350,15,22,1.47,65,43,69.2,7,2,6,3,20,2,2,0,0,0,"https://fbref.com/en/players/20de219a/Radoslaw-Majecki",15,22,2,1,1,0,21.1,0.31,-0.9,-0.06,27,112,24.1,320,76,26.6,30.5,87,31,32.8,154,14,9.1,18,1.2,14,0.82296937490241,1.37775454810631,0.97651992702012
