"","Squad","Comp","Player","CKR_Avg","SKR_Avg","Total_GK_Rating"
"1","Lens","Ligue 1","Brice Samba",1.88729457003,1.67020887262289,1.8272107208146
"2","Lens","Ligue 1","Mathew Ryan",1.27534009566927,2.07785356651103,1.49745559637383
"3","Nantes","Ligue 1","Alban Lafont",0.693805034090053,3.35496310918881,1.43034651255839
"4","Lille","Ligue 1","Lucas Chevalier",1.52109884361847,0.533962588242497,1.24788440972681
"5","Monaco","Ligue 1","Philipp Köhn",1.20278276260943,1.09150523968891,1.17198394910823
"6","Strasbourg","Ligue 1","Đorđe Petrović",1.40275801570174,0.501502486753535,1.15331320218962
"7","Nantes","Ligue 1","Anthony Lopes",0.810605308285231,1.76235118317101,1.0740245769014
"8","Reims","Ligue 1","Yehvann Diouf",1.3200257419597,0.379745353473486,1.05977983098174
"9","Nice","Ligue 1","Marcin Bułka",1.23320492845131,0.437810012461815,1.01305966430072
"10","Monaco","Ligue 1","Radosław Majecki",0.82296937490241,1.37775454810631,0.97651992702012
"11","Rennes","Ligue 1","Brice Samba",0.86303669679306,1.26729993551094,0.974926571476516
"12","Paris S-G","Ligue 1","Gianluigi Donnarumma",1.01614532323881,0.856378078423149,0.971925776941106
"13","Lyon","Ligue 1","Lucas Perri",1.12376295802815,0.455696272420337,0.938858938632471
"14","Angers","Ligue 1","Yahia Fofana",1.1124189021291,0.468168485234905,0.934106625604344
"15","Le Havre","Ligue 1","Mathieu Gorgelin",0.58287386583696,1.82234501186128,0.925928237147736
"16","Auxerre","Ligue 1","Donovan Léon",1.06081605571145,0.456392686049697,0.893526901986537
"17","Le Havre","Ligue 1","Arthur Desmas",0.532877411043018,1.74378960043832,0.868027383011314
"18","Rennes","Ligue 1","Steve Mandanda",0.573981101858711,1.41678168489571,0.807247059748497
"19","Marseille","Ligue 1","Gerónimo Rulli",0.896318824172363,0.470127961444766,0.778359935867153
"20","Toulouse","Ligue 1","Guillaume Restes",0.729530479380495,0.541993466838941,0.677624961336526
"21","Brest","Ligue 1","Marco Bizot",0.557604675705307,0.44997460984971,0.527815386382468
"22","Montpellier","Ligue 1","Benjamin Lecomte",0.437417292745717,0.563473035974295,0.472306345130761
"23","Saint-Étienne","Ligue 1","Gautier Larsonneur",0.506422127478567,0.379437561016155,0.471276000234166
