"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90.x","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url","Mins_Per_90.y","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","CKR_Avg","SKR_Avg","Total_GK_Rating"
"1",2025,"Liverpool","Premier League","Caoimhín Kelleher","IRL","GK","25",1998,10,10,900,10,12,1.2,37,24,67.6,7,2,1,4,40,1,0,1,0,100,"https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher",10,12,0,0,1,0,11.6,0.3,-0.4,-0.04,29,115,25.2,364,49,28.6,29,18,61.1,42.8,113,6,5.3,9,0.9,14,0.994043150830935,5.56574226818654,2.25937423300821
"2",2025,"Newcastle Utd","Premier League","Martin Dúbravka","SVK","GK","35",1989,10,10,900,10,12,1.2,41,29,70.7,7,0,3,5,50,0,0,0,0,NA,"https://fbref.com/en/players/3a949a25/Martin-Dubravka",10,12,0,0,1,0,12.9,0.32,0.9,0.09,18,80,22.5,273,54,15.8,25.2,59,62.7,45.4,127,10,7.9,11,1.1,15.3,1.20542885135062,3.28238373561179,1.78027761192603
"3",2025,"Leicester City","Premier League","Jakub Stolarczyk","POL","GK","23",2000,10,10,900,10,16,1.6,44,28,63.6,3,1,6,2,20,0,0,0,0,NA,"https://fbref.com/en/players/a4a76b3d/Jakub-Stolarczyk",10,16,0,0,2,0,15.4,0.35,-0.6,-0.06,57,195,29.2,328,36,46.3,34.2,58,74.1,50.2,169,10,5.9,8,0.8,12.5,0.728259792210325,3.71783496842143,1.55569884623836
"4",2025,"Manchester City","Premier League","Ederson","BRA","GK","30",1993,26,26,2320,25.8,26,1.01,78,53,69.2,16,4,6,10,38.5,2,2,0,0,0,"https://fbref.com/en/players/3bb7b8b4/Ederson",25.8,26,2,0,3,1,30,0.37,5,0.19,72,165,43.6,846,108,17.4,27.9,77,23.4,31.9,224,13,5.8,49,1.9,17.5,1.47877303806665,0.67734851400603,1.25695893038329
"5",2025,"Arsenal","Premier League","David Raya","ESP","GK","28",1995,38,38,3420,38,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0,"https://fbref.com/en/players/98ea5115/David-Raya",38,34,3,2,8,0,35.1,0.28,1.1,0.03,149,478,31.2,1263,178,29.9,29.9,147,68,49.1,402,53,13.2,66,1.74,17.2,1.57307817871829,0.368203467648094,1.23959922857068
"6",2025,"Manchester City","Premier League","Stefan Ortega","GER","GK","31",1992,13,12,1100,12.2,18,1.47,50,33,68,5,4,3,3,25,2,2,0,0,0,"https://fbref.com/en/players/c1242d4e/Stefan-Ortega",12.2,18,2,1,1,1,16.3,0.31,-0.7,-0.06,40,104,38.5,409,55,21.5,26.7,49,32.7,28.2,133,6,4.5,12,0.98,14.3,0.772034890764182,2.40608795021216,1.22429958994289
"7",2025,"West Ham","Premier League","Łukasz Fabiański","POL","GK","39",1985,14,13,1160,12.9,21,1.63,71,50,74.6,6,3,4,2,15.4,3,3,0,0,0,"https://fbref.com/en/players/9328b835/Lukasz-Fabianski",12.9,21,3,1,3,0,22.6,0.29,1.6,0.12,77,226,34.1,394,55,41.9,35.5,100,61,45.1,220,10,4.5,12,0.93,13.1,0.884906138124863,2.04570940679252,1.20618722387308
"8",2025,"Liverpool","Premier League","Alisson","BRA","GK","31",1992,28,28,2508,27.9,29,1.04,100,73,72,18,7,3,9,32.1,1,1,0,0,0,"https://fbref.com/en/players/7a2e46a8/Alisson",27.9,29,1,0,2,2,30.5,0.3,3.5,0.13,68,203,33.5,877,128,19.7,26.6,80,37.5,33.4,255,11,4.3,49,1.76,16,1.40349848730894,0.553055037913123,1.16811717665588
"9",2025,"Chelsea","Premier League","Robert Sánchez","ESP","GK","26",1997,32,32,2880,32,34,1.06,127,92,76.4,17,9,6,10,31.3,5,4,1,0,20,"https://fbref.com/en/players/6a713852/Robert-Sanchez",32,34,4,0,4,0,35.7,0.25,1.7,0.05,98,424,23.1,1160,190,33.3,33.4,82,46.3,40.3,370,47,12.7,57,1.78,14.5,1.36189833596011,0.462625337993934,1.11300223705246
"10",2025,"Everton","Premier League","Jordan Pickford","ENG","GK","30",1994,38,38,3420,38,44,1.16,163,117,73,11,15,12,12,31.6,2,0,2,0,100,"https://fbref.com/en/players/4806ec67/Jordan-Pickford",38,44,0,1,6,0,48.8,0.3,4.8,0.13,304,806,37.7,1355,161,48.8,39.7,231,62.8,48.7,558,31,5.6,57,1.5,15.2,1.30796627300317,0.335140089732177,1.03871250637282
