"","Squad","Comp","Player","CKR_Avg","SKR_Avg","Total_GK_Rating"
"1","Liverpool","Premier League","Caoimhín Kelleher",0.994043150830935,5.56574226818654,2.25937423300821
"2","Newcastle Utd","Premier League","Martin Dúbravka",1.20542885135062,3.28238373561179,1.78027761192603
"3","Leicester City","Premier League","Jakub Stolarczyk",0.728259792210325,3.71783496842143,1.55569884623836
"4","Manchester City","Premier League","Ederson",1.47877303806665,0.67734851400603,1.25695893038329
"5","Arsenal","Premier League","David Raya",1.57307817871829,0.368203467648094,1.23959922857068
"6","Manchester City","Premier League","Stefan Ortega",0.772034890764182,2.40608795021216,1.22429958994289
"7","West Ham","Premier League","Łukasz Fabiański",0.884906138124863,2.04570940679252,1.20618722387308
"8","Liverpool","Premier League","Alisson",1.40349848730894,0.553055037913123,1.16811717665588
"9","Chelsea","Premier League","Robert Sánchez",1.36189833596011,0.462625337993934,1.11300223705246
"10","Everton","Premier League","Jordan Pickford",1.30796627300317,0.335140089732177,1.03871250637282
"11","Nott'ham Forest","Premier League","Matz Sels",1.2097974507917,0.475838739577482,1.00665617957189
"12","Bournemouth","Premier League","Kepa Arrizabalaga",1.12702971297918,0.418616794670283,0.930958873332442
"13","Newcastle Utd","Premier League","Nick Pope",1.08447267632367,0.440712113197076,0.906295978974611
"14","Aston Villa","Premier League","Emiliano Martínez",1.03232385693327,0.441520680671938,0.868804429433206
"15","Ipswich Town","Premier League","Alex Palmer",0.417719638711971,2.01692689818531,0.860339898775284
"16","Manchester Utd","Premier League","André Onana",0.980020598546486,0.453915548745128,0.83440798168006
"17","Ipswich Town","Premier League","Arijanet Muric",0.66152962627447,1.25683059644817,0.82629392975881
"18","Crystal Palace","Premier League","Dean Henderson",0.958172147828708,0.308067340951047,0.778239523721334
"19","Tottenham","Premier League","Guglielmo Vicario",0.819321307171369,0.654766985248997,0.773776818592816
"20","Brentford","Premier League","Mark Flekken",0.891147257209422,0.394977297248116,0.753819918671701
"21","Fulham","Premier League","Bernd Leno",0.808190794739364,0.38726174400386,0.691688243365185
"22","West Ham","Premier League","Alphonse Areola",0.673588378485158,0.610289029208215,0.656068714118435
"23","Brighton","Premier League","Bart Verbruggen",0.631684364580361,0.473538814226142,0.587913662433416
"24","Wolves","Premier League","José Sá",0.604166047454265,0.457822185519294,0.563661755190322
"25","Leicester City","Premier League","Mads Hermansen",0.539849507767433,0.595033095468235,0.555122933894451
"26","Southampton","Premier League","Aaron Ramsdale",0.531044271313874,0.566771655946356,0.54093271084148
