"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90.x","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url","Mins_Per_90.y","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","CKR_Avg","SKR_Avg","Total_GK_Rating"
"1",2025,"Venezia","Serie A","Ionuț Radu","ROU","GK","27",1997,15,15,1350,15,18,1.2,65,47,76.9,2,7,6,4,26.7,3,3,0,0,0,"https://fbref.com/en/players/67f649be/Ionut-Radu",15,18,3,0,2,0,19.2,0.26,1.2,0.08,67,275,24.4,470,61,47.7,40.2,73,69.9,55.3,215,13,6,3,0.2,9.1,1.22273459897082,3.51023177429026,1.8558561588163
"2",2025,"Como","Serie A","Pepe Reina","ESP","GK","41",1982,12,12,1034,11.5,14,1.22,41,27,68.3,3,4,5,2,16.7,1,1,0,0,0,"https://fbref.com/en/players/e358587b/Pepe-Reina",11.5,14,1,0,4,0,12.1,0.28,-1.9,-0.16,43,115,37.4,330,41,32.4,31.9,34,23.5,28.4,148,2,1.4,6,0.52,12.5,0.888561430876348,3.80645305188618,1.69616028366874
"3",2025,"Roma","Serie A","Mile Svilar","SRB","GK","24",1999,38,38,3420,38,35,0.92,151,117,79.5,20,9,9,16,42.1,4,4,0,0,0,"https://fbref.com/en/players/bcf5058a/Mile-Svilar",38,35,4,0,4,1,42.5,0.26,8.5,0.22,124,413,30,1258,170,23.8,30.6,200,56.5,45.5,495,30,6.1,33,0.87,13.7,1.94332561396869,0.357328732212044,1.50436165347872
"4",2025,"Napoli","Serie A","Alex Meret","ITA","GK","27",1997,34,34,3005,33.4,25,0.75,84,59,71.4,21,9,4,16,47.1,4,1,2,1,66.7,"https://fbref.com/en/players/9413b19f/Alex-Meret",33.4,25,1,1,0,2,25.3,0.27,2.3,0.07,88,214,41.1,1041,117,15.4,27.7,181,29.8,34.9,378,21,5.6,47,1.41,16.5,1.80599032257595,0.41897318507106,1.42209893984369
"5",2025,"Udinese","Serie A","Razvan Sava","ROU","GK","22",2002,12,12,1080,12,16,1.33,51,37,74.5,5,4,3,4,33.3,3,3,0,0,0,"https://fbref.com/en/players/41efbd34/Razvan-Sava",12,16,3,1,4,2,14.5,0.24,0.5,0.04,44,148,29.7,337,26,33.2,32.2,55,65.5,47.5,202,4,2,13,1.08,14.8,0.938082541466601,2.6237654867448,1.40463709166858
"6",2025,"Como","Serie A","Jean Butez","FRA","GK","29",1995,19,18,1666,18.5,20,1.08,68,48,73.5,8,4,6,5,27.8,2,2,0,0,0,"https://fbref.com/en/players/7f40333d/Jean-Butez",18.5,20,2,0,1,0,20.1,0.27,0.1,0,90,235,38.3,709,92,30.2,32,43,48.8,42.7,190,22,11.6,51,2.76,18.2,1.24911119559915,1.35157719792632,1.27747120230187
"7",2025,"Bologna","Serie A","Federico Ravaglia","ITA","GK","24",1999,12,11,1056,11.7,14,1.19,24,10,45.8,5,2,4,4,36.4,1,1,0,0,0,"https://fbref.com/en/players/6662d731/Federico-Ravaglia",11.7,14,1,0,2,0,11.7,0.46,-2.3,-0.2,48,138,34.8,426,45,27.5,30.8,47,44.7,40.4,97,11,11.3,9,0.77,12.9,0.555188139800824,3.09790180014576,1.25894718975602
"8",2025,"Genoa","Serie A","Nicola Leali","ITA","GK","31",1993,29,29,2610,29,31,1.07,111,82,74.8,8,10,11,10,34.5,4,3,1,0,25,"https://fbref.com/en/players/5f9970a0/Nicola-Leali",29,31,3,0,4,3,34.3,0.29,6.3,0.22,150,391,38.4,722,112,39.3,33.9,214,50,41.1,390,21,5.4,14,0.48,11.2,1.45465440480077,0.668650069103205,1.23710821657754
"9",2025,"Atalanta","Serie A","Marco Carnesecchi","ITA","GK","24",2000,34,34,3060,34,34,1,129,97,75.2,19,7,8,13,38.2,2,2,0,0,0,"https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi",34,34,2,0,4,2,36.1,0.28,4.1,0.12,121,374,32.4,878,177,28.2,32.3,201,62.7,48.2,319,21,6.6,45,1.32,14.5,1.51883477223918,0.389224043774325,1.20618699538499
"10",2025,"Torino","Serie A","Vanja Milinković-Savić","SRB","GK","27",1997,37,37,3330,37,42,1.14,173,129,77.5,10,14,13,10,27,7,3,4,0,57.1,"https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic",37,42,3,1,7,2,51.4,0.27,11.4,0.31,223,702,31.8,1352,191,40,37.6,271,59.4,51.1,585,37,6.3,46,1.24,13.7,1.52936128460285,0.324120557680021,1.19578103049297
