"","Squad","Comp","Player","CKR_Avg","SKR_Avg","Total_GK_Rating"
"1","Venezia","Serie A","Ionuț Radu",1.22273459897082,3.51023177429026,1.8558561588163
"2","Como","Serie A","Pepe Reina",0.888561430876348,3.80645305188618,1.69616028366874
"3","Roma","Serie A","Mile Svilar",1.94332561396869,0.357328732212044,1.50436165347872
"4","Napoli","Serie A","Alex Meret",1.80599032257595,0.41897318507106,1.42209893984369
"5","Udinese","Serie A","Razvan Sava",0.938082541466601,2.6237654867448,1.40463709166858
"6","Como","Serie A","Jean Butez",1.24911119559915,1.35157719792632,1.27747120230187
"7","Bologna","Serie A","Federico Ravaglia",0.555188139800824,3.09790180014576,1.25894718975602
"8","Genoa","Serie A","Nicola Leali",1.45465440480077,0.668650069103205,1.23710821657754
"9","Atalanta","Serie A","Marco Carnesecchi",1.51883477223918,0.389224043774325,1.20618699538499
"10","Torino","Serie A","Vanja Milinković-Savić",1.52936128460285,0.324120557680021,1.19578103049297
"11","Inter","Serie A","Yann Sommer",1.40732617357984,0.64107173163265,1.19524625813409
"12","Cagliari","Serie A","Simone Scuffet",0.56200992223694,2.6461697042166,1.13885281689534
"13","Venezia","Serie A","Filip Stankovic",0.99504851151071,1.48120294202449,1.12960380394717
"14","Cagliari","Serie A","Elia Caprile",1.10841901921167,1.10169430178163,1.10655778692917
"15","Fiorentina","Serie A","David de Gea",1.23617480659197,0.468599715859207,1.02372936885043
"16","Juventus","Serie A","Michele Di Gregorio",1.18752196050825,0.493921237929797,0.995550763285895
"17","Milan","Serie A","Mike Maignan",1.08716193766704,0.346376871377715,0.882131303426435
"18","Bologna","Serie A","Łukasz Skorupski",0.802999646699706,0.762949116810601,0.791914669533565
"19","Udinese","Serie A","Maduka Okoye",0.729881149818215,0.839646792920624,0.760261513093957
"20","Empoli","Serie A","Devis Vásquez",0.763780039903166,0.599141250756731,0.718212172926059
"21","Lecce","Serie A","Wladimiro Falcone",0.79843863919915,0.445867074209155,0.700855716871625
"22","Parma","Serie A","Zion Suzuki",0.827100033855215,0.364461719800971,0.699053409711338
"23","Monza","Serie A","Stefano Turati",0.635960911132389,0.607874590254863,0.62818732545274
"24","Lazio","Serie A","Ivan Provedel",0.556833954444503,0.635771858533529,0.578681976600333
"25","Hellas Verona","Serie A","Lorenzo Montipò",0.511743512626131,0.410035083656074,0.48359318313339
