"","DPR_std","OCR_std","GSR_std","Player","Squad","Comp","Pos","Cluster","Min_Playing_Time","Overall_Rating"
"1",0.407955051172377,0.580928344725381,0.779948049396691,"Lamine Yamal","Barcelona","La Liga","FW",1,2856,0.626766164635568
"2",1,0.449267286508423,0.300718622550325,"Pedri","Barcelona","La Liga","MF",2,2879,0.617430733381434
"3",0.445847386053923,0.49404209310453,0.676946059894311,"Raphinha","Barcelona","La Liga","FW,MF",1,2839,0.566922877047231
"4",0.198057912100122,0.568519823949559,0.69094983905614,"Nico Williams","Athletic Club","La Liga","FW",1,1996,0.523405552551196
"5",0.217699982974119,0.416181415853628,0.723326298302706,"Rodrygo","Real Madrid","La Liga","FW,MF",1,1928,0.505931384391635
"6",0.62000875068513,0.483220324089964,0.357678763684962,"Sergi Cardona","Villarreal","La Liga","DF",2,2945,0.495494893612715
"7",0.0449516017989266,0.45980125988172,0.774722046391835,"Kylian Mbappé","Real Madrid","La Liga","FW",1,2907,0.493146085201516
"8",0.270422944248334,0.507335561074444,0.609020495134526,"Iñaki Williams","Athletic Club","La Liga","FW",1,2652,0.489516050949476
"9",0.561814396259449,0.793063836399738,0.107462885799514,"Abdul Mumin","Rayo Vallecano","La Liga","DF",2,2017,0.473596017099063
"10",0.508051474285568,0.288494984547609,0.544057713972031,"Alejandro Balde","Barcelona","La Liga","DF",1,2284,0.46998163623598
"11",0.159295691343435,0.379057303338024,0.699284968193715,"Antony","Betis","La Liga","FW",1,1362,0.469069176451041
"12",0.231763287251365,0.48295623174198,0.594141391425492,"Yeremi Pino","Villarreal","La Liga","MF,FW",1,1934,0.465652450616368
"13",0.13914751875438,0.517592574585887,0.62882778922374,"Vinicius Júnior","Real Madrid","La Liga","FW",1,2253,0.464982149358998
"14",0.85323875902971,0.396899479778624,0.048130648861176,"Florian Lejeune","Rayo Vallecano","La Liga","DF",2,3325,0.461154707704442
"15",0.686389068234054,0.204682956414956,0.40264062937979,"Jules Koundé","Barcelona","La Liga","DF",2,2605,0.460860165385661
"16",0.21365980989814,0.360419811803759,0.657359994821533,"Samuel Lino","Atlético Madrid","La Liga","MF,DF",1,1552,0.459716946472655
"17",0.354887707160479,0.462496921848297,0.517003648506089,"Álvaro García","Rayo Vallecano","La Liga","FW,MF",1,2559,0.458326897571352
"18",0.210408866480489,0.272794786476738,0.700105672093249,"Bryan Gil","Girona","La Liga","FW,MF",1,1721,0.457003229161971
"19",0.736341847552756,0.353858792618423,0.193578713050294,"Federico Valverde","Real Madrid","La Liga","MF,DF",2,3032,0.451646061108106
"20",0.256325176074046,0.542880720721373,0.515259581009471,"Álex Berenguer","Athletic Club","La Liga","FW,MF",1,2339,0.450294755842031
"21",0.0637399363784001,0.340360075805964,0.736033599972348,"Alfon","Celta Vigo","La Liga","FW,MF",1,1371,0.450167693167287
"22",0.264256100120158,0.177759693953233,0.695209616262099,"Gerard Martín","Barcelona","La Liga","DF",1,1038,0.445815358120422
"23",0.218071463364518,0.266719784172745,0.672908044702592,"Ander Barrenetxea","Real Sociedad","La Liga","MF,FW",1,1263,0.444780434389559
"24",0.0616956485277594,0.197770977930493,0.799175103027497,"Arnaut Danjuma","Girona","La Liga","FW,MF",1,1335,0.443626526702767
