"","DPR_std","OCR_std","GSR_std","Player","Squad","Comp","Pos","Cluster","Min_Playing_Time","Overall_Rating"
"1",0.238565047916978,0.714769564695261,0.795498741811387,"Mohamed Salah","Liverpool","Premier League","FW",1,3371,0.620629900511407
"2",0.147342770256659,0.407159257528118,1,"Jeremy Doku","Manchester City","Premier League","FW,MF",1,1516,0.61462065511011
"3",0.791500257767847,0.506189180612708,0.41853700150309,"Antonee Robinson","Fulham","Premier League","DF",2,3167,0.589749014283357
"4",0.432773671430891,0.665875032958793,0.582057122248484,"Bryan Mbeumo","Brentford","Premier League","FW",1,3414,0.561626437799317
"5",0.179738837853939,0.537672879308793,0.797682986177105,"Bukayo Saka","Arsenal","Premier League","FW,MF",1,1729,0.560922655172235
"6",0.744772671047807,0.536165567859174,0.299116052976353,"Aaron Wan-Bissaka","West Ham","Premier League","DF",2,3154,0.539715164687609
"7",0.248335036809871,0.372241585223774,0.799847194797821,"Cody Gakpo","Liverpool","Premier League","FW",1,1935,0.539508451086494
"8",0.207368003234161,0.550991195465917,0.698970147956703,"Son Heung-min","Tottenham","Premier League","FW",1,2110,0.525377864396612
"9",0.217398864416035,0.448428695500022,0.738701398364959,"Sávio","Manchester City","Premier League","FW,MF",1,1766,0.521184640405711
"10",0.262478052558244,0.487954403870598,0.687665627506514,"Luis Díaz","Liverpool","Premier League","FW",1,2399,0.519541420793877
"11",0.591926548888392,0.71317474410556,0.260184740568579,"Bruno Fernandes","Manchester Utd","Premier League","MF",2,3018,0.514558217488334
"12",0.467430443424118,0.628295146010536,0.481547406160354,"Antoine Semenyo","Bournemouth","Premier League","FW",1,3203,0.514423224437974
"13",0.65367246294776,0.515772985531118,0.327431824631418,"Milos Kerkez","Bournemouth","Premier League","DF",2,3336,0.507592629150414
"14",0.587581193679037,0.539131544706261,0.356616809585744,"Daniel Muñoz","Crystal Palace","Premier League","DF",2,3228,0.497549325930707
"15",0.966129907663038,0.327959458203825,0.0727861195370196,"Nathan Collins","Brentford","Premier League","DF",2,3420,0.495193503808264
"16",0.259720869052195,0.359248972019893,0.702892935886786,"Alejandro Garnacho","Manchester Utd","Premier League","MF,FW",1,2199,0.493686097006729
"17",0.173301132150962,0.748846602305614,0.538476283600358,"Anthony Elanga","Nott'ham Forest","Premier League","FW,MF",1,2501,0.489836979871323
"18",0.295546678749495,0.43365779820698,0.628668100594424,"Kaoru Mitoma","Brighton","Premier League","FW,MF",1,2603,0.487283822540361
"19",0.269179298747605,0.490294423771492,0.612318718542078,"Amad Diallo","Manchester Utd","Premier League","MF,FW",1,1901,0.486453418169116
"20",0.866410827564061,0.235448216910594,0.225027877311063,"Joško Gvardiol","Manchester City","Premier League","DF",2,3277,0.481265660303558
"21",0.219656723137263,0.362656162146321,0.694149602514256,"Jadon Sancho","Chelsea","Premier League","FW",1,1764,0.479293458549954
"22",0.219824299398698,0.34200205791991,0.697204802453666,"Gabriel Martinelli","Arsenal","Premier League","FW,MF",1,2290,0.475602113412288
"23",0.308721382204816,0.509433661195547,0.550347070568228,"Jacob Murphy","Newcastle Utd","Premier League","FW",1,2360,0.473003611643059
"24",0.25635055603072,0.383411119763036,0.647854216486788,"Yankuba Minteh","Brighton","Premier League","FW,MF",1,1838,0.472851258484034
"25",0.600853256119796,0.482255707376481,0.288767611756408,"Tyrick Mitchell","Crystal Palace","Premier League","DF",2,3092,0.464737010283574
"26",0.381367500083554,0.532717245909582,0.474229090399424,"Alex Iwobi","Fulham","Premier League","FW,MF",1,2981,0.463112225568188
"27",0.650123392426387,0.453997672495767,0.238978598034403,"Pedro Porro","Tottenham","Premier League","DF",2,2610,0.459945740683677
"28",0.325515065353128,0.510158895636916,0.503116310493453,"Dejan Kulusevski","Tottenham","Premier League","MF,FW",1,2389,0.455572980177131
"29",0.323849594624641,0.434493267038413,0.540686407206231,"Dango Ouattara","Bournemouth","Premier League","FW",1,2005,0.453857211396761
"30",0.223295535844046,0.379163379726185,0.62225240669247,"Noni Madueke","Chelsea","Premier League","FW",1,2033,0.45053441963909
"31",0.823951087574669,0.355305436579613,0.077291100934928,"Moisés Caicedo","Chelsea","Premier League","MF,DF",2,3351,0.447963275173548
"32",0.923678949652321,0.231825191464745,0.0565491957442269,"Virgil van Dijk","Liverpool","Premier League","DF",2,3330,0.446851180184715
"33",0.50434427600242,0.520932725067002,0.316595082600923,"Rayan Aït-Nouri","Wolves","Premier League","DF",2,3109,0.446394236571125
"34",0.556734790554138,0.582796058120812,0.198656072857132,"Elliot Anderson","Nott'ham Forest","Premier League","MF",2,2728,0.444693439321558
"35",0.46664263722912,0.633341024159952,0.255404686023205,"Mikkel Damsgaard","Brentford","Premier League","MF,FW",2,2911,0.441738675582889
"36",0.311252227154885,0.277399773158907,0.602717596224184,"Matheus Nunes","Manchester City","Premier League","DF,MF",1,1674,0.440225636695539
"37",0.159704194801445,0.60304186893132,0.515437763655251,"Callum Hudson-Odoi","Nott'ham Forest","Premier League","FW,MF",1,2194,0.438637652325612
"38",0.634816202809232,0.502329866129967,0.142829798054497,"Christian Nørgaard","Brentford","Premier League","MF",2,2819,0.435065034711556
"39",0.591059319071289,0.359486670055754,0.305532318566607,"Diogo Dalot","Manchester Utd","Premier League","DF",2,2814,0.433026727621615
"40",0.315254036343483,0.566388888202751,0.429504970621454,"Jarrod Bowen","West Ham","Premier League","FW,MF",1,2973,0.432106376741715
"41",0.186302790994471,0.405243750634326,0.591065237043532,"Pedro Neto","Chelsea","Premier League","FW",1,2269,0.432094545374916
"42",0.540864840249067,0.569481695760877,0.188831209399039,"Bruno Guimarães","Newcastle Utd","Premier League","MF",2,3271,0.431530382260259
"43",0.297313410533206,0.629578753507897,0.404725715718824,"Matheus Cunha","Wolves","Premier League","MF,FW",1,2597,0.431283007269679
"44",0.854286808799928,0.281209084015382,0.0486928520117817,"Murillo","Nott'ham Forest","Premier League","DF",2,3188,0.430264103609793
"45",0.314982511511915,0.435222747084493,0.490106662719581,"Leandro Trossard","Arsenal","Premier League","FW",1,2546,0.427723739314987
"46",0.12238964068917,0.377818525165644,0.632128974632824,"Harvey Barnes","Newcastle Utd","Premier League","FW",1,1755,0.426839728226255
"47",0.275711769138057,0.741558536184818,0.344897936791185,"Eberechi Eze","Crystal Palace","Premier League","MF,FW",1,2588,0.425147026684774
"48",0.279560238054798,0.60771628090537,0.412301687390457,"Ismaila Sarr","Crystal Palace","Premier League","MF",1,2711,0.424445260853088
"49",0.0993844536328597,0.284553148342926,0.689680581332919,"Simon Adingra","Brighton","Premier League","FW,MF",1,1097,0.424209999132139
"50",0.883714018889293,0.236689620791569,0.0258617843280742,"Max Kilman","West Ham","Premier League","DF",2,3348,0.42217580861744
"51",0.472063630406186,0.533786863510229,0.270103846127305,"Enzo Fernández","Chelsea","Premier League","MF",2,2947,0.421671622646542
"52",0.290901906108313,0.677917672916911,0.358417309344414,"Cole Palmer","Chelsea","Premier League","MF,FW",1,3191,0.419783259246914
"53",0.273185171795398,0.516447548946466,0.450258760316027,"Mohammed Kudus","West Ham","Premier League","FW,MF",1,2590,0.417692134987383
"54",0.536640858444492,0.457093157420697,0.243607892363011,"Nélson Semedo","Wolves","Premier League","DF",2,2886,0.417493215577076
"55",0.209716144744906,0.567096328355754,0.460108170478191,"Justin Kluivert","Bournemouth","Premier League","MF",1,2340,0.417415384889854
"56",0.703890094043307,0.218233173844791,0.240045230327992,"Valentino Livramento","Newcastle Utd","Premier League","DF",2,2840,0.417366356436434
"57",0.727921252472213,0.448102893797627,0.0229720187215544,"Dara O'Shea","Ipswich Town","Premier League","DF",2,3122,0.41721100245749
