"","DPR_std","OCR_std","GSR_std","Player","Squad","Comp","Pos","Cluster","Min_Playing_Time","Overall_Rating"
"1",0.153783149516148,0.528093840921986,0.786881742379285,"Ademola Lookman","Atalanta","Serie A","MF,FW",1,2247,0.546220387836684
"2",0.29971657981848,0.431086295107342,0.605087970883558,"Matìas Soulé","Roma","Serie A","MF,DF",1,1781,0.476675868965753
"3",0.134962131474797,0.533324295677756,0.633212737587444,"Rafael Leão","Milan","Serie A","FW",1,2323,0.469832699624133
"4",0.854230848995221,0.460059898801726,0.0187860443199542,"Amir Rrahmani","Napoli","Serie A","DF",2,3406,0.468976205048946
"5",0.309301941619801,0.409628939712546,0.58683246372642,"Federico Dimarco","Inter","Serie A","DF,FW",1,2177,0.465347269847549
"6",0.0818071843909714,0.568800010683014,0.62540696300072,"Mattia Felici","Cagliari","Serie A","MF,FW",1,925,0.460288508055206
"7",0.323905457855694,0.485168763254592,0.525018673521384,"Kenan Yıldız","Juventus","Serie A","FW,MF",1,2402,0.459189749277017
"8",0.211153897375222,0.38578093897892,0.622505159411372,"Gustav Isaksen","Lazio","Serie A","FW",1,2210,0.448941895508468
"9",0.231179569434829,0.398416020889875,0.602294774758598,"Dan Ndoye","Bologna","Serie A","FW",1,2143,0.448138251496416
"10",0.349148370193974,0.435952522514078,0.510795719871224,"Matteo Politano","Napoli","Serie A","FW,MF",1,2804,0.447149940671908
"11",0.27450090438524,0.471410025510552,0.533449806090236,"Mattia Zaccagni","Lazio","Serie A","FW",1,2686,0.445999547512405
"12",0.165991526588514,0.33954144413805,0.664258511406877,"Alexis Saelemaekers","Roma","Serie A","DF,FW",1,1389,0.444500824386848
"13",0.177046218709294,0.446399800031901,0.587315117102952,"Charles De Ketelaere","Atalanta","Serie A","MF,FW",1,2070,0.438075302534046
"14",0.0639363668862038,0.284484945223586,0.734944883098501,"Samuel Chukwueze","Milan","Serie A","FW,MF",1,925,0.435698743243987
"15",0.377748310070291,0.624473217912964,0.366564871316429,"Nicolás Paz","Como","Serie A","MF,FW",1,2687,0.434337287077708
"16",0.155467405362168,0.315286288147305,0.653791034567215,"Benjamín Domínguez","Bologna","Serie A","FW",1,1281,0.430560524378289
"17",0.545367585292098,0.404822531704125,0.311566901591256,"Dodô","Fiorentina","Serie A","DF",2,3115,0.429323056298001
"18",0.16392318390126,0.510266837237195,0.533464133307797,"Mateo Retegui","Atalanta","Serie A","FW",1,2383,0.425048411041772
"19",0.566123888706843,0.340385398542368,0.321237649879642,"Vitinha","Genoa","Serie A","MF",2,2042,0.423200874084675
"20",0.201461569369321,0.315091091813134,0.609286606913365,"Riccardo Orsolini","Bologna","Serie A","FW",1,1878,0.422292120226039
"21",0.494458123958674,0.437241306562483,0.323357941923767,"Theo Hernández","Milan","Serie A","DF",2,2696,0.421957030343438
"22",0.237056701865967,0.551884941656914,0.459423873185533,"Christian Pulisic","Milan","Serie A","FW,MF",1,2478,0.4208694079029
"23",0.235710646025871,0.342198951142135,0.539439675622826,"Alieu Fadera","Como","Serie A","FW,DF",1,1644,0.405656643770984
"24",0.48302957294279,0.526187176781986,0.209638282176889,"Emanuele Valeri","Parma","Serie A","DF",2,2873,0.403818088441633
"25",0.477650992901293,0.414771733802016,0.305971047644176,"Scott McTominay","Napoli","Serie A","MF",2,2938,0.403415652179656
"26",0.0980415287054128,0.343562796203913,0.614164116892498,"David Neres","Napoli","Serie A","FW",1,1283,0.403017882986585
"27",0.538769081737869,0.33759580168948,0.295294574242047,"Angeliño","Roma","Serie A","DF",2,3177,0.403002579888081
"28",0.519014392936955,0.422227163840424,0.245196513487956,"Antonino Gallo","Lecce","Serie A","DF",2,2609,0.401567031588813
"29",0.10824392639777,0.253058760019328,0.653062967855347,"Assane Diao","Como","Serie A","FW,MF",1,1252,0.401503222645587
"30",0.110580100268136,0.299976107762343,0.62482770565152,"Francisco Conceição","Juventus","Serie A","FW,MF",1,1340,0.400599430334273
"31",0.468935894860493,0.420701732074203,0.299712838663361,"Nicolò Barella","Inter","Serie A","MF",2,2493,0.399504475208551
"32",0.578000952259537,0.466145566040286,0.131912091802161,"Mattéo Guendouzi","Lazio","Serie A","MF",2,3270,0.399136119625202
"33",0.456735156014345,0.287468515316966,0.422162061620097,"Matteo Ruggeri","Atalanta","Serie A","DF",1,1751,0.397988125257126
"34",0.693267629472846,0.315467581567135,0.108651442949074,"Berat Djimsiti","Atalanta","Serie A","DF",2,2640,0.395921773348768
"35",0.646323991828595,0.455747878860097,0.0487355034739855,"Sebastiano Luperto","Cagliari","Serie A","DF",2,3240,0.395625800992102
"36",0.316404113807554,0.435462908362534,0.419805721079497,"Gabriel Strefezza","Como","Serie A","FW,MF",1,2619,0.39502317255057
"37",0.264232226331069,0.236297753159333,0.556039131742006,"Denzel Dumfries","Inter","Serie A","DF,FW",1,1955,0.394850575208405
"38",0.488141371660891,0.495242225530892,0.19420152635706,"Tommaso Augello","Cagliari","Serie A","DF",2,2713,0.392278337050555
"39",0.380773897360563,0.355155069892324,0.414974687166321,"Raoul Bellanova","Atalanta","Serie A","DF",1,2402,0.39048012962303
"40",0.452714821608349,0.529453774103529,0.194094838417865,"Aarón Martín","Genoa","Serie A","DF",2,3085,0.387558933614383
"41",0.648225450382686,0.349966976527217,0.106454420694987,"Manuel Locatelli","Juventus","Serie A","MF",2,2822,0.386786255698151
"42",0.110525384909654,0.237209116746205,0.628806770603487,"Pedro","Lazio","Serie A","FW,MF",1,1102,0.386722778259089
"43",0.566123888706843,0.204576734182078,0.321237649879642,"Vitinha","Genoa","Serie A","MF",2,2042,0.386232819994266
"44",0.571510497980025,0.341859291412281,0.185574922036431,"Éderson","Atalanta","Serie A","MF",2,2881,0.380594269120503
"45",0.402443535252093,0.499999128588773,0.256081245437809,"Robin Gosens","Fiorentina","Serie A","DF",2,2521,0.380303035776864
"46",0.207231814114143,0.392452753471406,0.47449103426181,"Marcus Thuram","Inter","Serie A","FW",1,2290,0.379719114622788
"47",0.238599707672522,0.472383721797885,0.412771371739635,"Tete Morente","Lecce","Serie A","FW,MF",1,2021,0.379361472451886
"48",0.119680631109117,0.46436891553559,0.482217904457232,"Florian Thauvin","Udinese","Serie A","FW,MF",1,1956,0.377087705789098
"49",0.601684899523053,0.360159715872022,0.120338535058489,"Marten de Roon","Atalanta","Serie A","MF,DF",2,3058,0.37579262526771
"50",0.0565614515129843,0.203022073387659,0.655010748527856,"Randal Kolo Muani","Juventus","Serie A","FW",1,1160,0.375526623324389
"51",0.484316397499843,0.362956169790972,0.256108451384183,"Andre-Frank Zambo Anguissa","Napoli","Serie A","MF",2,2852,0.375354854974819
